CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
1306,26559,25338,37360,54030,NA,NA
1308,28242,91914,26949,NA,NA,NA
1310,92446,91732,92748,NA,NA,NA
1312,27869,NA,NA,NA,NA,NA
1313,44757,92702,NA,NA,NA,NA
1322,18372,NA,NA,NA,NA,NA
1323,96671,95936,NA,NA,NA,NA
1324,95116,61813,40831,36583,41044,NA
1326,96872,20081,NA,NA,NA,NA
1327,78102,59255,NA,NA,NA,NA
1328,82512,55694,NA,NA,NA,NA
1335,39137,NA,NA,NA,NA,NA
1336,26027,79265,78536,58285,NA,NA
1341,49893,59458,87832,NA,NA,NA
1343,40181,49277,NA,NA,NA,NA
1347,52335,NA,NA,NA,NA,NA
1348,21767,78004,33625,51213,NA,NA
1352,14187,12344,78639,NA,NA,NA
1356,80435,31897,NA,NA,NA,NA
1359,61302,84315,58963,NA,NA,NA
1360,58055,NA,NA,NA,NA,NA
1361,21322,12209,NA,NA,NA,NA
1362,54170,89798,NA,NA,NA,NA
1366,70782,NA,NA,NA,NA,NA
1370,45302,NA,NA,NA,NA,NA
1374,82331,64990,NA,NA,NA,NA
1375,63893,54360,NA,NA,NA,NA
1376,77525,42221,49788,NA,NA,NA
1377,69720,11590,NA,NA,NA,NA
1378,54878,NA,NA,NA,NA,NA
1381,57639,97181,18619,NA,NA,NA
1382,38092,NA,NA,NA,NA,NA
1385,30802,NA,NA,NA,NA,NA
1388,28014,43324,89938,73509,NA,NA
1389,56775,91536,NA,NA,NA,NA
1391,19499,80233,61587,NA,NA,NA
1394,91719,86708,NA,NA,NA,NA
1398,99370,30001,NA,NA,NA,NA
1399,76960,47956,NA,NA,NA,NA
1400,88039,42424,53328,80124,NA,NA
1401,90898,89238,82820,66030,68683,23833
1402,33710,NA,NA,NA,NA,NA
1406,11747,52912,73724,59353,95347,46511
1407,13070,NA,NA,NA,NA,NA
1409,83668,48052,NA,NA,NA,NA
1410,24482,56048,NA,NA,NA,NA
1411,20606,NA,NA,NA,NA,NA
1412,20083,NA,NA,NA,NA,NA
1414,97419,10988,29043,97275,70728,NA
1415,90654,46405,90040,32615,84015,93456
1416,57596,70284,29937,NA,NA,NA
1419,37658,44963,NA,NA,NA,NA
1421,21008,53710,NA,NA,NA,NA
1423,79067,40005,39537,60606,38344,NA
1426,71747,NA,NA,NA,NA,NA
1435,96267,58002,42510,NA,NA,NA
1436,35874,47003,21121,NA,NA,NA
1437,83694,36992,36502,NA,NA,NA
1438,81255,53000,50000,NA,NA,NA
1439,88420,NA,NA,NA,NA,NA
1440,95611,85658,68034,67858,NA,NA
1442,95598,39735,NA,NA,NA,NA
1443,56781,95120,41560,NA,NA,NA
1446,47333,25341,67681,NA,NA,NA
1451,93696,33534,59420,NA,NA,NA
1454,79229,19735,NA,NA,NA,NA
1455,78040,81494,46131,89845,NA,NA
1459,25957,NA,NA,NA,NA,NA
1460,95956,78832,31160,NA,NA,NA
1465,55375,NA,NA,NA,NA,NA
1467,81303,NA,NA,NA,NA,NA
1469,21678,73797,92948,NA,NA,NA
1470,82139,26777,NA,NA,NA,NA
1474,99741,96414,NA,NA,NA,NA
1478,74491,79987,NA,NA,NA,NA
1482,35957,67607,10504,NA,NA,NA
1484,27176,NA,NA,NA,NA,NA
1489,55847,91308,18332,45526,NA,NA
1490,42831,NA,NA,NA,NA,NA
1491,75505,43030,NA,NA,NA,NA
1493,95901,18152,NA,NA,NA,NA
1494,59532,24685,75473,NA,NA,NA
