CPUBID,CSEX,CMOB,CYRB
48010,2,6,1984
34567,1,1,1987
23659,1,6,1980
12424,1,6,1985
61543,1,11,1987
89855,2,7,1989
83917,2,7,1991
96019,2,8,1982
77457,2,6,1985
96917,2,12,1986
33429,2,10,1984
67849,1,10,1985
32341,1,12,1979
41432,2,10,1985
46560,2,7,1991
99314,1,9,1981
47097,2,10,1987
23375,2,5,1984
41091,2,9,1986
32594,1,12,1992
59302,1,12,1992
87788,1,11,1997
83866,2,5,1985
71348,2,3,1987
80464,2,12,1988
60142,1,4,1990
79789,2,10,1983
54098,2,12,1989
18364,1,2,1985
38407,2,2,1982
17471,1,12,1984
60880,1,8,2000
20779,1,10,1993
35080,2,7,1997
41260,1,11,1987
24130,1,3,1991
69142,1,10,1983
36666,1,7,1986
20018,1,5,1988
88196,1,9,1988
26180,2,10,1993
16162,1,6,1975
69927,2,3,1985
43882,1,12,1974
50936,1,6,1982
59744,1,1,1984
10230,1,7,1988
15282,1,11,1989
52882,1,9,1991
44859,2,8,2000
86327,2,5,1985
33007,1,10,1988
47836,1,11,1977
14632,2,1,1981
17335,1,8,1985
77178,2,6,1983
89344,1,7,1987
73511,1,8,1979
54873,1,8,1986
93675,2,6,1992
61748,1,7,1993
96397,1,8,1986
84920,1,10,1992
26559,1,10,1982
25338,1,9,1986
37360,1,5,1989
54030,2,3,1999
28242,1,11,1977
91914,1,10,1979
26949,2,11,1980
92446,2,9,1992
91732,1,5,1995
92748,2,6,1998
27869,1,10,1977
44757,2,11,1981
92702,1,3,1993
18372,1,6,1985
96671,1,8,1992
95936,1,7,1994
95116,2,6,1986
61813,2,3,1988
40831,1,5,1990
36583,2,3,1995
41044,2,9,1999
96872,2,3,1998
20081,1,5,2000
78102,2,1,1987
59255,1,3,1994
82512,2,1,1987
55694,1,1,1991
39137,2,8,1995
26027,2,12,1979
79265,1,1,1981
78536,1,11,1981
58285,2,10,1984
49893,2,7,1979
59458,2,5,1983
87832,1,7,1987
40181,2,3,1980
49277,1,8,1984
52335,2,1,2007
21767,1,7,1992
78004,2,11,1994
33625,2,1,2002
51213,2,2,2003
14187,2,10,1980
12344,2,12,1981
78639,1,1,1985
80435,2,11,1990
31897,2,12,1992
61302,2,5,1987
84315,2,1,1993
58963,2,4,1996
58055,2,12,1988
21322,1,12,1983
12209,2,8,1995
54170,2,4,1993
89798,2,12,1994
70782,2,10,1997
45302,1,2,1991
82331,1,5,1996
64990,2,7,1998
63893,2,7,1987
54360,2,9,1992
77525,2,4,1975
42221,1,9,1983
49788,1,8,1985
69720,1,8,1980
11590,1,10,1985
54878,2,8,1990
57639,1,12,1982
97181,2,9,1985
18619,2,9,1989
38092,1,4,1989
30802,1,3,1990
28014,1,10,1983
43324,1,10,1984
89938,1,5,1986
73509,2,10,1987
56775,2,11,1988
91536,1,10,1989
19499,1,10,1977
80233,2,1,1979
61587,2,9,1980
91719,1,1,1980
86708,2,1,1982
99370,1,5,1978
30001,2,6,1985
76960,2,12,1987
47956,2,3,1992
88039,2,8,1980
42424,2,7,1981
53328,1,4,1986
80124,1,1,1996
90898,2,4,1975
89238,2,2,1978
82820,2,8,1979
66030,1,7,1980
68683,2,5,1982
23833,2,5,1984
33710,1,5,1992
11747,2,7,1978
52912,2,4,1980
73724,1,4,1981
59353,2,9,1982
95347,1,12,1983
46511,2,4,1985
13070,1,3,1989
83668,1,8,1983
48052,1,3,1986
24482,1,7,1980
56048,2,5,1991
20606,1,12,1983
20083,1,3,1982
97419,1,3,1976
10988,2,4,1977
29043,2,3,1981
97275,2,2,1983
70728,1,2,1984
90654,1,9,1977
46405,2,3,1979
90040,2,2,1981
32615,1,6,1982
84015,1,7,1983
93456,1,7,1984
57596,1,7,1979
70284,1,5,1981
29937,1,12,1982
37658,2,9,1980
44963,1,4,1983
21008,2,12,1984
53710,2,2,1987
79067,1,1,1978
40005,1,9,1979
39537,2,10,1981
60606,2,3,1983
38344,1,4,1987
71747,2,5,1998
96267,2,3,1986
58002,1,4,1988
42510,1,12,1989
35874,2,4,1983
47003,2,8,1986
21121,1,12,1987
83694,1,1,1983
36992,2,6,1985
36502,2,10,1986
81255,2,2,1977
53000,2,5,1985
50000,1,4,1989
88420,1,5,1991
95611,2,8,1980
85658,1,1,1983
68034,2,1,1984
67858,1,8,1985
95598,2,11,1986
39735,2,12,1993
56781,2,3,1983
95120,2,4,1985
41560,1,3,2004
47333,1,10,1983
25341,1,1,1989
67681,1,1,1994
93696,2,8,1979
33534,2,11,1981
59420,2,1,1992
79229,1,7,1983
19735,2,3,1985
78040,2,2,1973
81494,1,4,1976
46131,2,12,1977
89845,2,12,1978
25957,2,4,1983
95956,1,12,1988
78832,1,12,1988
31160,2,5,1992
55375,1,10,1984
81303,2,10,1996
21678,1,6,1975
73797,1,6,1977
92948,1,9,1982
82139,2,1,1978
